dataset,algorithm,n_folds,n_failed,roc_auc_mean,roc_auc_std,train_time_median_s,inference_time_median_s
Internet-Advertisements,lightgbm,15,0,0.980885598623804,0.010220060797209555,0.3393821600475348,0.2765261019812897
Internet-Advertisements,random_forest,15,0,0.9846922619471186,0.00855353028654038,1.1509545499575324,0.2787710319971666
Internet-Advertisements,tabicl,15,0,0.9836693133929489,0.0068228494896568235,16.48447380500147,5.7670535639626905
Internet-Advertisements,tabpfn,15,0,0.9869611033174863,0.005891888754590555,5.121754313993733,3.07032054499723
Internet-Advertisements,xgboost,15,0,0.978465649881006,0.008219730159173237,0.4571123470086604,0.0401911869994364
MiceProtein,catboost,15,0,0.9999983669736756,6.324683758285572e-06,20.35072575701633,0.0037686609430238
MiceProtein,lightgbm,15,0,0.9999570587015828,5.3108291928447264e-05,0.8173882010160014,0.0032529669697396
MiceProtein,random_forest,15,0,0.9999012918656487,9.918679381574652e-05,0.1252916930243373,0.0138913629925809
MiceProtein,tabicl,15,0,1.0,0.0,0.5730272080400027,0.1259348460007459
MiceProtein,tabpfn,15,0,1.0,0.0,0.3727873110328801,0.3073372420039959
MiceProtein,xgboost,15,0,0.9997118075259254,0.0002432903773628287,0.602086940954905,0.0039649319951422
PhishingWebsites,catboost,15,0,0.9953718670543807,0.0009604482715604969,6.619952989043668,0.0140037159435451
PhishingWebsites,lightgbm,15,0,0.9958753602141343,0.0009977215647138148,0.0927097611129283,0.009792495984584
PhishingWebsites,random_forest,15,0,0.9956433548677981,0.0011960459590875253,0.2523886607959866,0.0408741659484803
PhishingWebsites,tabicl,15,0,0.9983494608910713,0.000423393531507062,0.7858813060447574,0.5481000770814717
PhishingWebsites,tabpfn,15,0,0.9983579697684456,0.00043132210465377966,0.95755404420197,1.220931279938668
PhishingWebsites,xgboost,15,0,0.9965912609862108,0.0007790682833384911,0.0688054768834263,0.0037505449727177
adult,catboost,15,0,0.9301677329335483,0.0026589708058668846,21.25295433215797,0.028838335070759
adult,lightgbm,15,0,0.929367539807855,0.0027484445072574904,0.1689500550273805,0.0150076448917388
adult,random_forest,15,0,0.9061449180782207,0.003194229424426716,0.9197811789344996,0.0552451640833169
adult,tabicl,15,0,0.9264653789642091,0.0019065124874487872,0.9117829941678792,2.646812689024955
adult,tabpfn,15,0,0.9182663624429648,0.0027484783723656582,0.9541531489230692,5.302696254104376
adult,xgboost,15,0,0.9277345792128283,0.0023854508596918254,0.1399898980744183,0.0067561578471213
analcatdata_authorship,catboost,15,0,0.9997378246020291,0.00039628713757278736,2.2748835089732893,0.0038078139768913
analcatdata_authorship,lightgbm,15,0,0.9998330846534842,0.00025918220143973636,0.3291956749744713,0.0032231609802693
analcatdata_authorship,random_forest,15,0,0.9998765377352415,0.00017721699918671647,0.1547712699975818,0.0255357979913242
analcatdata_authorship,tabicl,15,0,1.0,0.0,0.7880876199924387,0.1247704459819942
analcatdata_authorship,tabpfn,15,0,1.0,0.0,0.5282907270011492,0.429714911035262
analcatdata_authorship,xgboost,15,0,0.9995166705820052,0.0006127958645546072,0.1303046870161779,0.004885452974122
analcatdata_dmft,catboost,15,0,0.5535501786238431,0.015160642580580289,4.804096458014101,0.0025489659747108
analcatdata_dmft,lightgbm,15,0,0.560505239392201,0.014237796616943736,0.22351553698536,0.0045950509957037
analcatdata_dmft,random_forest,15,0,0.5385062476748284,0.01626195860975146,0.1464006819878704,0.0261785589973442
analcatdata_dmft,tabicl,15,0,0.5887472038568285,0.018408816481341364,0.3313455950119532,0.068929572997149
analcatdata_dmft,tabpfn,15,0,0.5844967910583561,0.02581202297011837,0.5449954610085115,0.4161244049901142
analcatdata_dmft,xgboost,15,0,0.5477036421923176,0.015937289142189844,0.2548795889597386,0.0033563619945198
